1,0
skills program languages python pandas numpy scipy scikitlearn matplotlib sql java javascriptjquery machine learn regression svm naã¯ve bay knn random forest decision tree boost techniques cluster analysis word embed sentiment analysis natural language process dimensionality reduction topic model lda nmf pca neural net database visualizations mysql sqlserver cassandra hbase elasticsearch d3js dcjs plotly kibana matplotlib ggplot tableau others regular expression html css angular 6 logstash kafka python flask git docker computer vision open cv understand deep learningeducation detail data science assurance associate data science assurance associate ernst young llp skill detail javascript exprience 24 months jquery exprience 24 months python exprience 24 monthscompany detail company ernst young llp description fraud investigations dispute service assurance technology assist review tar technology assist review assist accelerate review process run analytics generate report core member team help develop automate review platform tool scratch assist e discovery domain tool implement predictive cod topic model automate review result reduce labor cost time spend lawyers review understand end end flow solution research development classification model predictive analysis mine information present text data work analyze output precision monitor entire tool tar assist predictive cod topic model evidence follow ey standards develop classifier model order identify red flag fraudrelated issue tool technologies python scikitlearn tfidf word2vec doc2vec cosine similarity naã¯ve bay lda nmf topic model vader text blob sentiment analysis matplot lib tableau dashboard report multiple data science analytic project usa clients text analytics motor vehicle customer review data receive customer feedback survey data past one year perform sentiment positive negative neutral time series analysis customer comment across 4 categories create heat map term survey category base frequency word extract positive negative word across survey categories plot word cloud create customize tableau dashboards effective report visualizations chatbot develop user friendly chatbot one products handle simple question hours operation reservation options chat bot serve entire product relate question give overview tool via qa platform also give recommendation responses user question build chain relevant answer intelligence build pipeline question per user requirement ask relevant recommend question tool technologies python natural language process nltk spacy topic model sentiment analysis word embed scikitlearn javascriptjquery sqlserver information governance organizations make inform decisions information store integrate information governance portfolio synthesize intelligence across unstructured data source facilitate action ensure organizations best position counter information risk scan data multiple source format parse different file format extract meta data information push result index elastic search create customize interactive dashboards use kibana preform rot analysis data give information data help identify content either redundant outdated trivial preform fulltext search analysis elastic search predefined methods tag pii personally identifiable information social security number address name etc frequently target cyberattacks tool technologies python flask elastic search kibana fraud analytic platform fraud analytics investigative platform review red flag case â¢ fap fraud analytics investigative platform inbuilt case manager suite analytics various erp systems use clients interrogate account systems identify anomalies indicators fraud run advance analytics tool technologies html javascript sqlserver jquery css bootstrap nodejs d3js dcjs,0
education detail may 2013 may 2017 uitrgpv data scientist data scientist matelabs skill detail python exprience less 1 year months statsmodels exprience 12 months aws exprience less 1 year months machine learn exprience less 1 year months sklearn exprience less 1 year months scipy exprience less 1 year months keras exprience less 1 year monthscompany detail company matelabs description ml platform business professionals dummy enthusiasts 60a koramangala 5th block achievementstasks behind sukh sagar bengaluru india develop deploy auto preprocessing step machine learn mainly miss value treatment outlier detection encode scale feature selection dimensionality reduction deploy automate classification regression model linkedincominadityarathore b4600b146 reasearch deploy time series forecast model arima sarimax holtwinter prophet work metafeature extract problem githubcomrathorology implement state art research paper outlier detection mix attribute company matelabs description,1
areas interest deep learn control system design program inpython electric machinery web development analytics technical activities q hindustan aeronautics limit bangalore 4 weeks guidance mr satish senior engineer hangar mirage 2000 fighter aircraft technical skills program matlab python java labview python webframeworkdjango flask ltspiceintermediate languages mipowerintermediate github gitbash jupyter notebook xampp mysqlbasics python software package interpretersanaconda python2 python3 pycharm java ideeclipse operate systems windows ubuntu debiankali linux education detail january 2019 btech electrical electronics engineer manipal institute technology january 2015 deeksha center january 2013 little flower public school august 2000 manipal academy higher data science data science electrical enthusiast skill detail data analysis exprience less 1 year months excel exprience less 1 year months machine learn exprience less 1 year months mathematics exprience less 1 year months python exprience less 1 year months matlab exprience less 1 year months electrical engineer exprience less 1 year months sql exprience less 1 year monthscompany detail company themathcompany description currently work casino base operatorname disclose macaui need segment customers visit property base value patrons bring companybasically prove segmentation do much better way current system proper number back uphenceforth implement target market strategy attract customers add value business,2
skills â¢ r â¢ python â¢ sap hana â¢ tableau â¢ sap hana sql â¢ sap hana pal â¢ ms sql â¢ sap lumira â¢ c â¢ linear program â¢ data model â¢ advance analytics â¢ scm analytics â¢ retail analytics â¢social media analytics â¢ nlp education detail january 2017 january 2018 pgdm business analytics great lakes institute management illinois institute technology january 2013 bachelor engineer electronics communication bengaluru karnataka new horizon college engineer bangalore visvesvaraya technological university data science consultant consultant deloitte usi skill detail linear program exprience 6 months retail exprience 6 months retail market exprience 6 months scm exprience 6 months sql exprience less 1 year months deep learn exprience less 1 year months machine learn exprience less 1 year months python exprience less 1 year months r exprience less 1 year monthscompany detail company deloitte usi description project involve analyse historic deal come insights optimize future deal role give raw data carry end end analysis present insights client key responsibilities â¢ extract data client systems across geographies â¢ understand build report tableau infer meaningful insights optimize price find process blockade technical environment r tableau industry cross industry service area cross industry products project name handwrite recognition consultant 3 months project involve take handwritten image convert digital text image object detection sentence creation role develop sentence correction functionality key responsibilities â¢ gather data large enough capture english word â¢ train lstm model word technical environment python industry finance service area financial service bi development project name swift consultant 8 months project develop analytics infrastructure top sap s4 would user view financial report respective departments report also include forecast expense role lead offshore team key responsibilities â¢ design develop data model report â¢ develop etl data flow â¢ validate various report technical environment sap hana tableau sap ao industry healthcare analytics service area life sciences product development project name clinical healthcare system consultant 2 months project develop analytics infrastructure top argus would allow users query faster provide advance analytics capabilities role involve design deploy phase perform lot data restructure build model insights key responsibilities â¢ design develop data model report â¢ develop deploy analytical model â¢ validate various report technical environment data model sap hana tableau nlp industry fmcg service area trade promotion project name consumption base plan flower foods consultant 8 months project involve set crm cbp modules role involve key data decomposition activities set base future year forecast course project develop various model carry key performance improvements key responsibilities â¢ design develop hana model decomposition â¢ develop data flow forecast â¢ develop various view report customersalesfunds â¢ validate various report bobj technical environment data model sap hana bobj time series forecast internal initiative industry fmcg customer segmentation rfm analysis consultant 3 months initiative involve set hanapython interface advance analytics python course successfully segment data five core segment use kmeans carry rfm analysis python also develop algorithm categorize new customer define bucket technical environment anaconda3 python36 hana sps12 industry telecom invoice state detection consultant 1 months initiative reduce manual effort verify close open invoice manually involve development decision tree classify openclosed invoice enable effort reduction 60 technical environment r sap pal sap hana sps12 accenture experience industry analytics cross industry process analytics sap senior developer 19 months accenture solutions pvt ltd india project involve development sap analytics tool process analytics ipa role develop database object data model provide operational insights clients role develop various finance relate kpis spearhead various deployments introduce sap predictive analytics reduce development time reuse functionalities kpis prepare production plan report key responsibilities â¢ involve information gather phase â¢ design implement sap hana data model use attribute view analytic view calculation view â¢ develop various kpis individually use complex sql script calculation view â¢ create procedures hana database â¢ take ownership develop dashboard functionality â¢ involve build data process algorithms execute r server cluster analysis technical environment r sap hana tsql industry cross industry accenture test accelerator sap database developer 21 months accenture solutions pvt ltd india role take care development activities atas tool also complete various deployments product apart activities also actively involve maintenance database servers production quality key responsibilities â¢ analyze business requirements understand scope get requirements clarify interact business transform requirements generate attribute map document review map specification documentation â¢ create update database object like table view store procedures function package â¢ monitor sql server error log application log sql server agent â¢ prepare data flow diagram entity relationship diagram use uml â¢ responsible design develop normalization database table â¢ experience performance tune use sql profiler â¢ involve qa uat knowledge transfer support activities technical environment sql server 20082014 visual studio 2010 windows server performance monitor sql server profiler c plsql tsql,3
education detail mca ymcaust faridabad haryana data science internship skill detail data structure exprience less 1 year months c exprience less 1 year months data analysis exprience less 1 year months python exprience less 1 year months core java exprience less 1 year months database management exprience less 1 year monthscompany detail company itechpower description,4
skills c basics iot python matlab data science machine learn html microsoft word microsoft excel microsoft powerpoint recognition academic secure first place btecheducation detail august 2014 may 2018 btech ghatkesar andhra pradesh auroras scientific technological institute june 2012 may 2014 secondary education warangal telangana sr junior college data science skill detail ms office exprience less 1 year months c exprience less 1 year months machine learn exprience less 1 year months data science exprience less 1 year months matlab exprience less 1 year monthscompany detail company description,5
skills â¢ python â¢ tableau â¢ data visualization â¢ r studio â¢ machine learn â¢ statistics iabac certify data scientist versatile experience 1 years manage business data science consult lead innovation project bring business ideas work real world solutions strong advocator augment era human capabilities enhance machine fahed passionate bring business concepts area machine learn ai robotics etc real life solutionseducation detail january 2017 b tech computer science engineer mohali punjab indo global college engineer data science consultant data science consultant datamites skill detail machine learn exprience 13 months python exprience 24 months solutions exprience 24 months data science exprience 24 months data visualization exprience 24 months tableau exprience 24 monthscompany detail company datamites description â¢ analyze process complex data set use advance query visualization analytics tool â¢ responsible load extract validation client data â¢ work manipulate clean process data use python â¢ use tableau data visualization company heretic solutions pvt ltd description â¢ work closely business identify issue use data propose solutions effective decision make â¢ manipulate cleanse process data use python excel r â¢ analyze raw data draw conclusions develop recommendations â¢ use machine learn tool statistical techniques produce solutions problems,6
education detail btech rayat bahra institute engineer biotechnology data science data science skill detail numpy exprience less 1 year months machine learn exprience less 1 year months tensorflow exprience less 1 year months scikit exprience less 1 year months python exprience less 1 year months gcp exprience less 1 year months pandas exprience less 1 year months neural network exprience less 1 year monthscompany detail company wipro description bhawana aggarwal emailbhawanachdgmailcom phone 09876971076 vversatile highenergy professional target challenge assignments machine profile summary âª professional knowledge experience 2 years wipro technologies machine learn deep learn data science python software development âª skilled manage endtoend development software products project inception requirement specs plan design implementation configuration documentation âª knowledge python machine learn deep learn data science algorithms neural network nlp gcp âª knowledge python libraries like numpy pandas seaborn matplotlib cufflinks âª knowledge different algorithms machine learn like knn decision tree bias variance trade support vector machinesvmlogistic regression neural network âª knowledge unsupervised supervise reinforcement data âª program experience relational platforms like mysqloracle âª knowledge program language like cjava âª experience cloud base environment like google cloud âª work different operate system like linux ubuntu windows âª good interpersonal communication skills âª problem solve skills ability think laterally think medium term long term perspective âª flexibility open attitude change âª ability create define frameworks strong emphasis code reusability technical skills program languages python c libraries seaborn numpy pandas cufflinks matplotlib algorithms knn decision tree linear regression logistic regression neural network k mean cluster tensorflow svm databases sql oracle operate systems linux window development environments netbeans notebooks sublime ticket tool service remedy education ug education btech computer science rayat bahra institute engineer biotechnology pass 784in 2016 school xii 2012 moti ram arya sr secondary schoolpassed 784 x 2010 valley public school pass 94 cgpa work experince title wipro neural intelligence platform team size 5 brief wiproâs neural intelligence platform harness power automation artificial intelligence technologiesânatural language process nlp cognitive machine learn analytics platform comprise three layer data engagement platform easily access manage multiple structure unstructured data source âintent assessment reasoningâ engine include sentiment predictive analytics deep machine learn engine sense act learn time project entail automate responses user query earliest monster bot use power deep machine learn nlp handle query user see query answer quickly like alll1 activities eliminate entity extractor involve text extraction nlp fetch important information text like date name place contact number etc involve regex bluemix nlu apiâs machine learn use tensor flow learn new entities classifier involve classifications class train dataset predict output use sklearn classifier mnb svm sgd classifier sgd optimization map user query best suit response make system efficient ner deep learn ner model train extract entities text entities like roles skills organizations extract raw text rnnlstm bidirectional model train extract entities use keras tensorflow framework project title diabetes detection brief develop software detect whether person suffer diabetes get third prize train certifications title python train machine learn data science deep learn organization udemy coursera machine learn deep learn personal profile fatherâs name mr tirlok aggarwal language know english hindi marital status single date birthgender19931220yyyymmdd f company wipro description develop program python company wipro description title wipro neural intelligence platform team size 5 brief wiproâs neural intelligence platform harness power automation artificial intelligence technologiesânatural language process nlp cognitive machine learn analytics platform comprise three layer data engagement platform easily access manage multiple structure unstructured data source âintent assessment reasoningâ engine include sentiment predictive analytics deep machine learn engine sense act learn time project entail automate responses user query earliest monster bot use power deep machine learn nlp handle query user see query answer quickly like alll1 activities eliminate entity extractor involve text extraction nlp fetch important information text like date name place contact number etc involve regex bluemix nlu apiâs machine learn use tensor flow learn new entities classifier involve classifications class train dataset predict output use sklearn classifier mnb svm sgd classifier sgd optimization map user query best suit response make system efficient ner deep learn ner model train extract entities text entities like roles skills organizations extract raw text rnnlstm bidirectional model train extract entities use keras tensorflow framework company wipro technologies description professional knowledge experience 2 years wipro technologies machine learn deep learn data science python software development âª skilled manage endtoend development software products project inception requirement specs plan design implementation configuration documentation âª knowledge python machine learn deep learn data science algorithms neural network nlp gcp âª knowledge python libraries like numpy pandas seaborn matplotlib cufflinks âª knowledge different algorithms machine learn like knn decision tree bias variance trade support vector machinesvmlogistic regression neural network âª knowledge unsupervised supervise reinforcement data âª program experience relational platforms like mysqloracle âª knowledge program language like cjava âª experience cloud base environment like google cloud âª work different operate system like linux ubuntu windows âª good interpersonal communication skills âª problem solve skills ability think laterally think medium term long term perspective âª flexibility open attitude change âª ability create define frameworks strong emphasis code reusability,7
personal skills â¢ ability quickly grasp technical aspects willingness learn â¢ high energy level result orient education detail january 2018 master engineer computer technology application bhopal madhya pradesh truba institute engineer information technology january 2010 computer science bhopal madhya pradesh rkdf institute science technology college engineer january 2006 polytechnic information technology vidisha madhya pradesh sati engineer college vidisha january 2003 mtech thesis detail bmch school ganj basoda data science six month experience data science key skills experience machine learn deep lean nlp python sql web scrap good knowledge computer subject ability update skill detail experience machine learn deep learn nlp python sql web crawl htmlcss exprience less 1 year monthscompany detail company rntai technology solution description text classification use machine learn algorithms python practical knowledge deep learn algorithms â recurrent neural networksrnn develop custom data model algorithms apply dataset experience python package like pandas scikitlearn tensor flow numpy matplotliv nltk comfort sql â mysql sentiment analysis â apply leave dataset use classification technique like tfidf lsa cosine similarity use machine learn algorithms web crawl use selenium web driver beautiful soup python company life insurance corporation india bhopal description ã¼â explain policy feature benefit ã¼ update knowledge life insurance products share customers,8
